record_type,record_index,name,description,cover_img_src,color,source_url,group,start_date,end_date,end_at_utc,has_expired,expires_in,is_cst_start,is_banner_event,banner_group
activity,7,Back to Solaris,"Share your invitation code with up to 3 Returning Players in your server, complete in-game tasks to obtain Startorch Sigils. Returning Players can link their accounts with the Player of their choice by using their corresponding invitation code. This can be done once. After linking, Returning Players are eligible to claim rewards.",/api/event-cover-images/file/3-3-back-to-solaris.png,#4e5650,https://wutheringwaves.kurogames.com/en/main/news/detail/4605,,2026-04-30 10:00,2026-06-07 03:59:59,2026-06-07T03:59:59+00:00,False,35d 11h 4m,True,False,1
activity,23,Beyond the Waves: Roya Frostlands,"During the event, you can complete event tasks once per day to obtain a set number of Adventure Logs. Each Adventure Log can be exchanged for an Adventure Package.",/api/event-cover-images/file/beyond-the-waves-roya-frostlands.png,#cb925c,https://wutheringwaves.kurogames.com/en/main/news/detail/4605,,2026-05-25 04:00,2026-06-07 03:59:59,2026-06-07T03:59:59+00:00,False,35d 11h 4m,False,False,1
activity,21,Crossworld Sync: Pt. 2,"""PRAGMATA,"" ""Riders Republic,"" and ""HAIKYU !! ""(anime) Collab Event. Complete tasks in the Collab Event to obtain the corresponding Collab Livery and various levelling Materials.",/api/event-cover-images/file/crossworld-sync-pt-2.png,#252a2e,https://wutheringwaves.kurogames.com/en/main/news/detail/4605,,2026-05-21 10:00,2026-06-07 03:59:59,2026-06-07T03:59:59+00:00,False,35d 11h 4m,False,False,1
activity,22,Depths of Illusive Realm: Chromatic Fantasy,"The challenge features three ""Surface of Illusions"" stages and one ""Depth of Illusions"" stage. Before entering, you can adjust the reward rate via Memetic Tuning. Higher rates yield greater rewards. Clearing stages earns you Illusive Specimen and Memory Points. Illusive Specimens can be used to exchange for Astrites and other rewards. Spend Memory Points in Thought Revolution to upgrade your abilities, making future challenges easier.",/api/event-cover-images/file/depths-of-illusive-realm-chromatic-fantasy.png,#242e7f,https://wutheringwaves.kurogames.com/en/main/news/detail/4605,,2026-05-21 10:00,2026-06-07 03:59:59,2026-06-07T03:59:59+00:00,False,35d 11h 4m,False,False,1
activity,10,Dimmer Traces,"The event consists of 4 phases, unlocked in sequence as you progress through the Main Quest. In each phase, you complete event tasks, including puzzle solving, combat, item collecting, to unlock and obtain rewards based on the number of Voidmatter Chips obtained.",/api/event-cover-images/file/dimmer-traces.png,#5c446f,https://wutheringwaves.kurogames.com/en/main/news/detail/4605,,2026-04-30 10:00,2026-06-07 03:59:59,2026-06-07T03:59:59+00:00,False,35d 11h 4m,True,False,1
activity,9,Gifts of Starlight,"During the event, log in to claim the day's login rewards from the event page.",/api/event-cover-images/file/gifts-of-starlight.png,#1466d0,https://wutheringwaves.kurogames.com/en/main/news/detail/4605,,2026-04-30 10:00,2026-06-07 03:59:59,2026-06-07T03:59:59+00:00,False,35d 11h 4m,True,False,1
activity,14,Pioneer Podcast,"During Pioneer Podcast, you can obtain Podcast EXP by completing Podcast Tasks to increase the Podcast Level and win various rewards.",/api/event-cover-images/file/3-3-pioneer-podcast.png,#6774cb,https://wutheringwaves.kurogames.com/en/main/news/detail/4605,8,2026-04-30 10:00,2026-06-07 03:59:59,2026-06-07T03:59:59+00:00,False,35d 11h 4m,True,False,1
activity,24,[Chord Cleansing] Limited-Time Echo Double Drop Event,Spend Waveplates to claim double rewards after completing a Tacet Suppression challenge.,/api/event-cover-images/file/chord-cleansing-limited-time-double-drop-event.png,#3c3222,https://wutheringwaves.kurogames.com/en/main/news/detail/4418,6,2026-05-31 04:00,2026-06-07 03:59:59,2026-06-07T03:59:59+00:00,False,35d 11h 4m,False,False,1
activity,12,Gifts of Grand Celebration,Log in during the event period to claim the rewards.,/api/event-cover-images/file/gifts-of-grand-celebration.png,#fc492f,https://wutheringwaves.kurogames.com/en/main/news/detail/4605,,2026-04-30 10:00,2026-06-07 11:59:59,2026-06-07T11:59:59+00:00,False,35d 19h 4m,True,False,1
activity,18,Lollo Express: Promise Delivered,"During the event, complete event tasks to earn delivery rewards.",/api/event-cover-images/file/lollo-express-promise-delivered.png,#252426,https://wutheringwaves.kurogames.com/en/main/news/detail/4605,,2026-05-07 04:00,2026-06-07 11:59:59,2026-06-07T11:59:59+00:00,False,35d 19h 4m,False,False,1
activity,13,Second Coming of Solaris: Collab Season,"During the event, visit the event page to take part in various anniversary activities. Earn 2nd Anniversary",/api/event-cover-images/file/second-coming-of-solaris-collab-season.png,#818699,https://wutheringwaves.kurogames.com/en/main/news/detail/4605,,2026-04-30 10:00,2026-06-07 11:59:59,2026-06-07T11:59:59+00:00,False,35d 19h 4m,True,False,1
activity,15,Star Bouncing,"Access the game in the Mind Dive Arcade or the event page and start your adventure in the infinite galaxy of Star Bouncing. Along the way, you can collect various Persona Pinballs and use them to build different lineups to take on your foes.",/api/event-cover-images/file/star-bouncing.png,#da2d6e,https://wutheringwaves.kurogames.com/en/main/news/detail/4605,,2026-05-02 10:00,2026-06-07 11:59:59,2026-06-07T11:59:59+00:00,False,35d 19h 4m,False,False,1
activity,11,Bountiful Waves,"Complete Spindrift Tasks to earn Spindrifts, which can be ex- changed for various items in the Bountiful Waves.",/api/event-cover-images/file/bountiful-waves.png,#2b5998,https://wutheringwaves.kurogames.com/en/main/news/detail/4605,,2026-04-30 10:00,2026-06-15 03:59:59,2026-06-15T03:59:59+00:00,False,43d 11h 4m,True,False,1
